Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  1024,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  1024,   64,    1,   64,    1,      256,     1,
