Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   256,  768,    1,  768,    1,      768,     1,
FFN1_input,            256,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            256, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   256,  768,    1,  768,    1,      768,     1,
FFN1_input,            256,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            256, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
MHA_head_1_self_att2,  256,  768,    1,  768,    1,       64,     1,
MHA_concat_final_op,   256,  768,    1,  768,    1,      768,     1,
FFN1_input,            256,  768,    1,  768,    1,     3072,     1,
FFN1_inter,            256, 3072,    1, 3072,    1,      768,     1,

MHA_head_1_cal_query,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_key,    256,  768,    1,  768,    1,       64,     1,
MHA_head_1_cal_value,  256,  768,    1,  768,    1,       64,     1,
MHA_head_1_self_att1,  256,   64,    1,   64,    1,      256,     1,
