Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_1_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_2_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_3_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_4_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_concat_final_op,   128, 256,    1, 256,    1,      256,     1,
FFN1_input,            128, 128,    1, 256,    1,      512,     1,
FFN1_inter,            128, 512,    1, 512,    1,      128,     1,

MHA_head_1_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_1_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_2_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_3_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_4_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_concat_final_op,   128, 256,    1, 256,    1,      256,     1,
FFN1_input,            128, 128,    1, 256,    1,      512,     1,
FFN1_inter,            128, 512,    1, 512,    1,      128,     1,

MHA_head_1_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_1_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_2_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_3_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_4_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_concat_final_op,   128, 256,    1, 256,    1,      256,     1,
FFN1_input,            128, 128,    1, 256,    1,      512,     1,
FFN1_inter,            128, 512,    1, 512,    1,      128,     1,

MHA_head_1_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_1_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_1_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_1_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_2_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_2_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_2_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_3_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_3_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_3_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_query,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_key,    128, 256,    1, 256,    1,       64,     1,
MHA_head_4_cal_value,  128, 256,    1, 256,    1,       64,     1,
MHA_head_4_self_att1,  128,  64,    1,  64,    1,      256,     1,
MHA_head_4_self_att2,  128, 256,    1, 256,    1,       64,     1,
MHA_concat_final_op,   128, 256,    1, 256,    1,      256,     1,
FFN1_input,            128, 128,    1, 256,    1,      512,     1,
FFN1_inter,            128, 512,    1, 512,    1,      128,     1,

