Layer name, Layer type, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

MHA_head_1_cal_query, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_key,   FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_value, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_self_att1, FC,  16,  384,    1,  384,    1,      128,     1,
MHA_head_1_self_att2, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_proj_final_op,    FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input,           FC,  16,  384,    1,  384,    1,     1536,     1,
FFN1_inter,           FC,  16, 1536,    1, 1536,    1,      384,     1,

MHA_head_1_cal_query, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_key,   FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_cal_value, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_head_1_self_att1, FC,  16,  384,    1,  384,    1,      128,     1,
MHA_head_1_self_att2, FC,  16,  384,    1,  384,    1,      384,     1,
MHA_proj_final_op,    FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp1,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp2,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp3,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp4,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp5,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp6,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp7,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp8,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp9,      FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp10,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp11,     FC,  16,  384,    1,  384,    1,      384,     1,
FFN1_input_exp12,     FC,  16,  384,    1,  384,    1,      384,     1,
